Source,SS,DF,F,p_unc,np2
Group,112.54596635040438,1,244.29978715280015,1.3455603710538517e-25,0.760348425119307
STEAM_Pre,78.02702841054516,1,169.3706762756245,3.8896510632892735e-21,0.6874628053792526
Residual,35.472971589454815,77,,,
