Source,SS,DF,F,p_unc,np2
Group,143.30965287228557,1,314.07444780038617,6.783671260240122e-29,0.8031065429278502
CELF5_Pre,99.44051724137917,1,217.9317646481495,3.6870307998736034e-24,0.7389226620202806
Residual,35.13448275862071,77,,,
